"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Zoom To"
"","ARCTIC","FACTORY STREET DAM","RI03802","04/16/2015","Private","NATCO PRODUCTS CORPORATION","27.5","442","Hydroelectric","Hydroelectric","-","SOUTH BRANCH PAWTUXET RIVER","ARCTIC","0","KENT","RI","RI02","James R. Langevin (D)","N","N","N","11/22/2013","-71.5211","41.7067"
"","CAPRON POND","-","RI04325","-","Private","BOEHM, RAYMOND","15","8","Other","Other","-","WOONASQUATUCKET RIVER","SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","Y","N","-","-71.52187352","41.90322117"
"","WINCHECK POND","-","RI01402","05/07/2010","Private","RHODE ISLAND BOY SCOUTS","9","650","Recreation","Recreation","-","MOSCOW BROOK","HOPKINTON","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.76230622","41.52031327"
"","BUCK HILL POND","BUCK HILL MANAGEMENT AREA","RI00310","-","State","RI DEM FISH & WILDLIFE","12","196","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","LEESON BROOK","BURRILLVILLE","-","PROVIDENCE","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.78859709","41.98976515"
"","YAWGOOG POND","-","RI01403","11/22/2011","Private","RHODE ISLAND BOY SCOUTS","17","990","Recreation","Recreation","-","WINCHECK BROOK","HOPKINTON","1","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.78054581","41.5170951"
"","NELSON POND","PARADISE POND","RI01901","05/23/2011","Local Government","NEWPORT, CITY OF","17","230","Water Supply","Water Supply","-","PARADISE BROOK","MIDDLETOWN","0","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.26276403","41.49134827"
"","GEORGIAVILLE POND","-","RI03108","05/20/2010","-","SMITHFIELD, TOWN OF (OWNER)","35","1950","Recreation","Recreation","-","WOONASQUATUCKET RIVER","SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.50653076","41.89309309"
"","WOOD RIVER JUNCTION","MEADOWBROOK POND","RI02902","-","Private","SNYDER, THEODORE & VIRGINIA CARDOZO","189","164850","Recreation","Recreation","-","MEADOW BROOK","RICHMOND","3","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.69108577","41.43787383"
"","GARDINER POND","-","RI01902","05/23/2011","Local Government","NEWPORT, CITY OF","20","1350","Water Supply","Water Supply","-","MAIDFORD BROOK","MIDDLETOWN","0","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.25479894","41.48837662"
"","BARDEN RESERVOIR","-","RI03003","-","Local Government","PROVIDENCE WATER SUPPLY BOARD","12","1935","Water Supply","Water Supply","-","PONAGANSET RIVER","SCITUATE","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.67375184","41.79198073"
"","MILL POND","-","RI04390","03/29/2006","Private","O'KEEFE, DENNIS, TRUST","5","17","Fish and Wildlife Pond","Fish and Wildlife Pond","Earth","ADAMSVILLE BROOK","TIVERTON","1","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.13689","41.57501"
"","BROWNING MILL POND","ACADIA POND","RI01104","01/01/2012","State","RI DEM FISH & WILDLIFE","13","260","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","ROARING BROOK","HOPKINTON","-","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.69290925","41.55834581"
"","PAWTUCKET UPPER","SLATER MILL POND","RI04270","-","-","NARRAGANSETT ELECTRIC COMPANY","14","65","-","-","-","BLACKSTONE RIVER","PAWTUCKET","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","Y","N","-","-71.38220974","41.87714388"
"","YORKER MILL POND","SLOCUM DAM / YAWGOO MILL POND","RI01109","05/07/2010","Private","DORSET MILL PARTNERSHIP","12","100","Other","Recreation, Other","-","CHIPUXET RIVER","EXETER","1","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.52324576","41.52170647"
"","QUIDNICK POND UPPER","-","RI04037","-","Private","CLARIANT CORPORATION","22","50","Other","Other","-","PAWTUXET RIVER-SOUTH BRANCH","COVENTRY","0","KENT","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.54135127","41.6952133"
"","WESTCONNAUG RESERVOIR","-","RI01201","-","Local Government","PROVIDENCE WATER SUPPLY BOARD","17","150","Water Supply","Water Supply","-","WESTCONNAUG BROOK","SCITUATE","1","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.67716975","41.77225878"
"","BRIDLEWOOD UPPER END","-","RI04442","09/17/2014","Private","KURL, RABINDER & RITA","5","0","-","-","-","MOSHASSUCK RIVER-TRIB","-","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.46078","41.91206"
"","CAMP WARWICK POND","OK-WA-NESSET CAMP","RI04347","-","Private","YMCA OF GREATER PROVIDENCE","29","81","Recreation","Recreation","Earth","HARDIG BROOK-TRIB","WARWICK","0","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.49636073","41.69378279"
"","SLOCUM RESERVOIR","THE RESERVOIR","RI01108","05/24/2010","Private","AMERICAN BAPTIST CHURCHES OF R.I.","8","70","Recreation","Recreation","-","CHIPUXET RIVER","EXETER","1","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.52001185","41.539917"
"","INDIAN LAKE","-","RI03204","-","Private","VILLAGE AT INDIAN LAKE HOME & CONDOMINIUM OWNERS ASSOC.","11","200","Recreation","Recreation","-","SAUGATUCKET RIVER","SOUTH KINGSTOWN","2","WASHINGTON","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.47432713","41.47608568"
"","STILLWATER MILL POND","-","RI04322","-","Private","VAUGHN DANIEL S.","16","72","Other","Other","-","STILLWATER RIVER","SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","Y","N","-","-71.55912776","41.87599567"
"","BRIDLEWOOD POND","-","RI04328","06/15/2010","Private","DELISI, LUCY V., PER, RES, TR","7","12","Recreation","Recreation","-","MOSHASSUCK RIVER-TRIB","LINCOLN","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.4589767","41.91031268"
"","GORHAM, N. FARM POND","RI NONAME #1","RI01202","-","Private","DUNBAR, MAURICE A. & IDA D.","9","109","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","-","MOOSUP RIVER-TRIB","FOSTER","-","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.76010892","41.74003221"
"","BLEACHERY POND","-","RI04238","06/15/2010","Private","PROVIDENCE CASKET CO.","8","30","Hydroelectric","Hydroelectric","Earth","MOSHASSUCK RIVER","LINCOLN","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.40857571","41.89272826"
"","SIMMONS UPPER RESERVOIR","-","RI01602","09/09/2010","Local Government","JOHNSTON, TOWN OF","16","430","Debris Control","Debris Control","-","CEDAR SWAMP BROOK","JOHNSTON","2","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.51953124","41.79708863"
"","HAMILTON RESERVOIR","-","RI04253","12/19/2011","Private","DWORMAN ASSOCIATES, LTD.","10","53","Fish and Wildlife Pond","Fish and Wildlife Pond, Other","-","ANNAQUATUCKET RIVER","NORTH KINGSTOWN","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.44106291","41.55018617"
"","HANDY POND UPPER","-","RI04240","06/15/2010","Local Government","LINCOLN, TOWN OF","12","50","Other","Other","-","HANDY BROOK","LINCOLN","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.47239682","41.95870205"
"","BOUCHAR FARM POND","-","RI04371","12/08/2011","Private","APPOLONIA, GARY M.","7.4","37","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Earth","HARDIG BROOK","WEST WARWICK","0","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.5106354","41.68548967"
"","WILBUR POND","-","RI00313","05/14/2010","Private","TILLINGHAST HOLDING CO. LLC","12","100","Recreation","Recreation","-","MARY BROWN BROOK","GLOCESTER","1","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.76442717","41.93022156"
"","SPRAGUE POND","-","RI04525","07/28/2005","Private","NARRAGANSETT, TOWN OF","12","0","-","-","-","CROOKED BROOK-TRIB","-","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.47011","41.43406"
"","LOUISQUISSET FLOOD CONTROL","-","RI04551","10/14/2009","Not Listed","-","0","0","Flood Control","Flood Control","-","WEST RIVER-TRIB","-","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.44463","41.86988"
"","CENTRAL FALLS","PANTEX MILL POND","RI00402","-","State","RI DEM","8","120","Hydroelectric","Hydroelectric","-","BLACKSTONE RIVER","CENTRAL FALLS","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","N","N","-","-71.38019566","41.88773729"
"","CHERRY VALLEY POND","-","RI01307","-","Private","MOSCA, GERALD","14","1026","Recreation","Recreation","-","CHEPACHET RIVER","GLOCESTER","3","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.67400355","41.87384416"
"","MILL","-","RI04556","-","Local Government","NEW SHOREHAM, TOWN OF","12","58","-","-","-","MILL TAIL BROOK","-","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.56479","41.17246"
"","MILLBROOK POND","HOPKINS POND","RI01101","-","Private","THREEBROOK LLC","15","300","Recreation","Recreation","-","CONGDON RIVER","WEST GREENWICH","1","WASHINGTON","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.62298585","41.59480285"
"","EISENHOWER LAKE","K A LOUTTIT LOWER POND","RI03702","-","State","RI UNIVERSITY OF RHODE ISLAND","8","1520","Recreation","Recreation","-","ACID FACTORY BK","WEST GREENWICH","0","KENT","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.71921534","41.61701584"
"","RODMAN MILL","-","RI04408","05/07/2010","Private","LAFAYETTE MILL COMPLEX ASSOCIATES","0","0","-","-","-","ANNAQUATUCKET RIVER","NORTH KINGSTONW","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.48667904","41.57304075"
"","SECRET LAKE","-","RI04497","12/19/2011","Private","NORTH KINGSTOWN, TOWN OF","0","0","-","-","-","ANNAQUATUCKET RIVER-TRIB","-","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.47262","41.55709"
"","ALBION","-","RI00808","-","Not Listed","-","22","349","-","-","Masonry","BLACKSTONE RIVER","LINCOLN","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","Y","N","-","-71.45355221","41.95420839"
"","WRIGHT, T. FARM POND","-","RI04183","09/18/2003","Private","LANPHEAR, CLAYTON D. III & LESLIE G.","11","8","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Earth","CHEPACHET RIVER-TRIB","GLOCESTER","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.66348271","41.91297151"
"","BUCKLIN POINT","-","RI04117","11/21/2011","Public Utility","NARRAGANSETT BAY COMMISSION","20","10","-","-","-","SEEKONK RIVER-TRIB","EAST PROVIDENCE","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.36568445","41.85192487"
"","ALMY RESERVOIR","-","RI01606","07/28/2010","Local Government","JOHNSTON, TOWN OF","33","1030","Other","Other","-","DRY BROOK","JOHNSTON","2","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.52053837","41.81468578"
"","BLOCK ISLAND ROD & GUN CLUB POND","MILL TAIL POND","RI02201","11/20/2014","Private","ESTATE OF GEORGE RUSSELL JAMES","14","75","Recreation","Recreation","-","MILL TAIL BROOK","NEW SHOREHAM","-","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.56372834","41.17082977"
"","BREAKHEART POND","-","RI01102","-","State","RIDEM FISH AND WILDLIFE","9","106","Recreation","Recreation","-","BREAKHEART BROOK","EXETER","1","WASHINGTON","RI","RI02","James R. Langevin (D)","N","N","N","-","-71.70317999","41.59546107"
"","ARKWRIGHT POND","-","RI04039","-","Private","ARKWRIGHT, INC.","12","52","Other","Other","-","PAWTUXET RIVER-NORTH BRANCH","WEST WARWICK","1","KENT","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.54554744","41.72969819"
"","EASTON POND NORTH","GREEN END POND","RI01903","05/23/2011","Local Government","NEWPORT, CITY OF","14","700","Water Supply","Water Supply","-","BAILEY BROOK","MIDDLETOWN","0","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.28888697","41.49385833"
"","ROUND TOP POND","-","RI00307","-","State","RI DEM FISH & WILDLIFE","10","85","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","ROUNDTOP BROOK","BURRILLVILLE","3","PROVIDENCE","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.69992828","42.0019493"
"","POCASSET POND","-","RI04218","12/09/2011","Local Government","JOHNSTON, TOWN OF","8.5","15","Other","Other","Earth","POCASSET RIVER","JOHNSTON","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.50646211","41.82574082"
"","POTOWOMUT POND","-","RI02304","-","State","RI DEM FISH & WILDLIFE","14","167","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","POTOWOMUT RIVER","NORTH KINGSTOWN","0","WASHINGTON","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.4539871","41.63013842"
"","SPRING LAKE","HERRING POND","RI00306","-","Private","HARRISVILLE SPRING LAKE CAMPERS, INC.","14","60","Recreation","Recreation","-","HERRING BROOK","BURRILLVILLE","2","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.66610715","41.97824479"
"","CURRAN LOWER RESERVOIR","SPRING LAKE","RI00703","06/07/2010","State","RI DEM PARKS & RECREATION","17","250","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","CLARKE BROOK","CRANSTON","1","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.54538729","41.74174502"
"","DAVID KING FARM POND","-","RI04184","11/19/2011","Private","KING, GARY A","13","22","Fish and Wildlife Pond","Fire Protection, Stock, Or Small Fish Pond, Fish and Wildlife Pond","Earth","SPRING GROVE BROOK","GLOCESTER","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.6494598","41.90028762"
"","HARRIS POND","-","RI04197","03/05/2013","Private","CARAPEZZA, EDWARD","5","3","-","-","-","TOMAQUAG BROOK-TRIB","HOPKINTON","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.7559128","41.46131133"
"","WILSON RESERVOIR","-","RI00302","11/24/2009","Private","WILSON RESERVOIR ASSOCIATION","21","840","Recreation","Recreation","-","CLEAR RIVER","BURRILLVILLE","1","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.7223282","41.96615218"
"","WAKEFIELD POND","-","RI04131","-","Private","BOY SCOUTS OF AMERICA, NARRAGANSETT COUNCIL","11","6","Recreation","Recreation","-","BLACKMORE BROOK","THOMPSON, CT.","5","PROVIDENCE","RI","CT02","Joe Courtney (D)","N","Y","N","-","-71.79846192","41.96142958"
"","VALLEY FALLS","SAMOSET DAM","RI00401","09/21/2015","Private","GELARDIN/BRUNER/COTT, INC.","10","80","Hydroelectric","Hydroelectric","-","BLACKSTONE RIVER","CENTRAL FALLS","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","N","N","01/06/2015","-71.3898","41.9011"
"","ROYAL MILLS","RIVERPOINT UPPER DAM","RI04367","04/16/2015","Private","SBER ROYAL MILLS, LLC","21","15.19","Hydroelectric","Hydroelectric","Gravity","SOUTH BRANCH PAWTUXET RIVER","WEST WARWICK","0","KENT","RI","RI02","James R. Langevin (D)","N","N","N","04/26/2010","-71.5165","41.7128"
"","MOUNTAINDALE RESERVOIR","-","RI03107","-","Local Government","SMITHFIELD, TOWN OF","8","770","Recreation","Recreation","-","REAPER BROOK","SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","Y","N","-","-71.53610233","41.88528058"
"","ALLENDALE POND","-","RI02403","-","Private","MILESTONE PROPERTIES CORP.","11","140","Other","Other","-","WOONASQUATUCKET RIVER","JOHNSTON","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.48179623","41.85102082"
"","HOPKINS POND","-","RI04321","11/23/2009","Private","OUELLETTE, MARYBETH","11","18","Other","Other","-","SLACK RESERVOIR BROOK","SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.55189513","41.87094115"
"","BOWDISH RESERVOIR","BOWDISH RESERVOIR UPPER","RI01308","-","State","RI DEM FORESTRY","19","424","Recreation","Recreation","-","MARY BROWN BROOK","GLOCESTER","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.77817016","41.92456791"
"","GRIST MILL APARTMENTS","-","RI04555","04/29/2010","Not Listed","-","16","0","-","-","-","HARDIG BROOK","-","0","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.46789","41.69958"
"","HEFLER FARM POND","BROWNING POND","RI04331","06/04/2010","Not Listed","-","11","6","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","-","ROCKY BROOK","SOUTH KINGSTOWN","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.50299072","41.45475768"
"","FORESTDALE POND","-","RI02504","11/12/2009","Not Listed","-","19.5","280","-","-","-","BRANCH RIVER","NORTH SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.56406397","41.99607086"
"","NATICK POND","-","RI03801","04/29/2010","Private","WEST WARWICK, TOWN OF; WARWICK, CITY OF","30.39","1100","Other","Other","-","PAWTUXET RIVER","WEST WARWICK","0","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.49240108","41.71738052"
"","MIDDLE POND","-","RI00611","05/29/2014","Private","SOUCY, MICHAEL E. & ROBERTA","10","50","Recreation","Recreation","Earth","NORTHRUP BROOK","COVENTRY","1","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.55402369","41.70004273"
"","WATSON, HAROLD E, RESERVOIR","PACHET BROOK POND","RI01802","11/15/2010","Local Government","NEWPORT, CITY OF","38","7860","Water Supply","Water Supply","-","PACHET BROOK","LITTLE COMPTON","0","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.18989559","41.543808"
"","CLARKE'S POND UPPER","SEIDEL'S POND","RI04087","-","Private","LABRIE, LOIS","18","60","Other","Other","-","CLARKE BROOK","CRANSTON","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.54727131","41.73688039"
"","MISCOE LAKE","GRANTS MILL POND","RI00801","-","Private","COOK, JEFFREY W.","9","154","-","-","-","MISCOE BROOK","CUMBERLAND","2","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.41711422","42.00765227"
"","BELKNAP POND","-","RI04215","12/09/2011","Private","GOTT, FRED A., JR.","8","7","Other","Other","-","ASSAPUMPSET BROOK","JOHNSTON","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.50595098","41.84923176"
"","HUGHESDALE POND UPPER","-","RI04221","12/09/2011","Private","FONTAINE, JEANNETTE Y., OF THE FONTAINE LIVING TRUST","22","55","Other","Other","-","DRY BROOK","JOHNSTON","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.50185396","41.80725481"
"","HARRIS POND","-","RI04038","06/07/2010","Local Government","PAWTUXET RIVER AUTHORITY","24","80","Other","Other","-","PAWTUXET RIVER-NORTH BRANCH","WEST WARWICK","0","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.53971863","41.72542574"
"","HOPKINS FARM POND","-","RI04058","07/13/2012","Private","JEREMY VOTOLATO, D/B/A ISLAND GREEN GOLF, LLC","8","12","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Earth","PAWTUXET RIVER-SOUTH BRANCH","COVENTRY","1","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.57142634","41.69487763"
"","SLATERSVILLE RESERVOIR LOWER","-","RI02503","12/14/2011","Private","DUDLEY DEVELOPMENT CORP.","18","328","-","-","-","BRANCH RIVER","NORTH SMITHFIELD","1","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.58051304","41.99895096"
"","BOONE LAKE","-","RI01103","08/14/2013","Private","BOONE LAKE DAM MANAGEMENT DISTRICT","21","360","Recreation","Recreation","-","ROARING BROOK","EXETER","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.67799372","41.58201219"
